R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8,education,major
1,3,5,3,1,3,4,3,2,2,4,4,2,2,5,4,3,1,3,5,3,1,3,5,4,2,2,4,4,1,2,4,5,3,1,3,5,2,1,3,4,4,2,2,4,3,2,2,4,english
4,4,1,4,1,3,4,4,4,4,4,4,3,4,4,5,2,3,5,4,5,4,2,5,5,4,3,5,4,2,3,3,3,4,2,4,5,3,5,3,2,3,4,3,3,3,3,3,3,Business Marketing
4,2,1,4,2,5,3,4,4,4,5,5,5,5,4,3,4,5,4,5,5,4,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,4,5,3,5,5,5,4,human services
3,1,3,1,1,1,1,1,5,3,5,5,5,1,5,1,3,5,4,5,5,5,1,4,5,5,3,5,5,1,1,1,2,1,1,1,5,1,1,1,3,1,1,2,5,1,1,1,3,Medicine 
3,4,2,5,5,1,4,2,5,1,2,3,3,3,3,2,1,1,1,2,1,1,4,1,2,1,2,1,1,1,1,1,4,2,2,1,3,5,3,4,3,1,2,3,2,2,2,1,2,mechanical engineering
2,2,1,2,1,0,0,5,3,5,5,3,2,1,2,3,4,2,1,5,1,2,3,0,3,1,5,4,5,3,5,3,0,5,2,3,3,4,5,4,4,2,1,3,1,2,5,2,2,singing or nursing 
5,3,3,4,3,4,2,3,5,3,4,5,3,4,4,3,1,3,2,2,5,2,1,3,5,2,3,2,4,4,4,4,4,4,4,4,5,3,4,4,3,4,3,4,3,3,3,4,3,Psychology 
3,2,2,2,2,3,2,3,3,3,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,5,2,2,1,1,4,1,5,4,4,4,5,4,5,3,4,2,3,3,3,3,5,4,3,Accounting
1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,4,4,5,5,5,5,1,5,3,3,5,2,5,3,4,3,2,2,3,3,3,2,2,2,3,1,2,2,2,2,4,1,3,Psychology
4,4,1,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,3,1,1,1,1,2,2,1,4,4,4,2,5,4,4,3,5,5,5,4,4,4,5,4,2,accounting
3,4,3,4,2,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3,1,1,1,2,3,3,2,3,2,5,3,2,4,Nursing
3,1,1,1,1,1,3,1,5,5,5,5,1,5,4,5,3,5,5,5,3,5,1,4,3,5,4,3,5,3,4,4,1,5,2,4,5,5,1,3,5,5,4,3,2,4,5,2,2,computer engineer
1,2,2,2,2,3,2,3,2,2,2,5,2,2,2,2,0,3,5,5,5,2,4,5,3,5,5,5,5,5,5,5,3,2,4,5,5,5,3,5,3,2,2,5,3,2,3,2,2,Law And Culinary Arts
3,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,4,3,2,1,3,4,5,5,3,5,4,5,3,1,5,4,4,1,4,1,3,1,1,1,3,3,1,1,1,2,customer service
2,1,2,1,1,1,1,1,5,2,4,5,5,3,5,1,1,2,4,1,1,2,3,1,4,1,3,1,3,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,3,Foresnic science
3,5,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,3,3,5,5,5,5,5,3,1,5,5,3,5,5,3,3,3,5,5,3,3,2,business
5,4,4,2,4,4,2,4,5,4,2,4,3,3,2,4,5,5,1,3,4,5,5,4,5,3,4,5,2,2,2,4,2,2,3,2,5,2,2,1,3,3,2,2,4,4,2,2,3,philosophy
1,3,2,2,1,1,1,2,3,4,4,4,3,4,2,3,2,3,3,4,3,4,3,4,3,3,2,4,4,2,3,2,1,1,1,1,4,2,1,2,2,3,4,3,4,3,3,3,3,Philosophy and Math
3,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,science
1,1,1,1,1,1,1,1,3,3,3,4,3,3,3,5,1,1,1,1,1,1,1,1,3,4,2,1,2,1,1,1,1,1,3,1,5,1,3,1,4,3,3,3,5,4,3,3,4,French
3,2,1,1,3,1,1,1,3,3,3,3,1,3,3,1,5,4,3,5,3,5,5,3,3,5,3,5,3,5,5,5,3,3,2,3,4,3,2,3,1,1,1,1,1,3,3,2,2,Recreational Therapy
2,1,1,1,1,1,1,1,3,2,3,2,2,3,2,1,1,1,1,1,1,1,1,1,4,3,4,2,5,4,4,3,1,1,1,1,1,1,1,1,2,1,1,2,3,3,1,1,3,psychology 
1,1,1,1,1,1,1,1,4,4,4,1,1,4,3,3,1,1,4,1,1,1,2,2,1,4,1,2,1,1,1,2,2,3,1,1,3,2,1,1,1,1,1,1,2,2,1,2,2,marketing
1,1,1,1,2,1,1,1,3,2,3,0,2,1,0,1,4,4,5,4,4,3,1,4,5,4,4,3,4,4,4,4,3,3,1,4,3,4,4,4,4,1,2,4,1,1,1,2,3,Media
3,3,1,1,1,1,1,2,3,5,1,1,1,4,1,4,1,1,4,2,4,4,3,4,4,4,4,4,4,4,3,2,3,4,3,4,4,4,4,3,2,2,4,4,1,4,3,3,3,teaching/training
5,1,1,3,1,3,3,2,3,5,4,3,3,4,3,1,1,1,1,1,1,3,1,2,3,5,3,2,3,3,3,4,1,3,2,1,3,1,1,1,3,2,2,4,2,4,1,2,2,"Animal science, Pre-Vet Med"
1,3,1,1,1,4,1,3,5,4,5,5,5,1,5,1,3,1,1,1,1,4,1,1,1,5,5,4,3,1,1,5,1,1,1,3,1,1,1,1,2,2,1,1,1,1,1,1,2,medicine 
1,4,2,4,5,4,3,4,5,4,4,5,5,5,5,5,1,4,5,3,4,4,4,5,3,5,5,5,5,4,5,4,2,5,5,5,4,5,1,5,2,5,1,5,4,4,1,5,2,medical
3,4,2,3,3,4,3,4,4,3,3,3,4,3,2,2,3,3,3,4,4,4,2,4,4,3,5,4,5,4,4,4,2,3,4,3,3,4,4,3,3,3,4,4,3,3,3,3,3,rehabilitation
5,3,1,1,2,1,2,1,4,5,3,2,3,3,3,3,2,3,2,2,3,3,3,3,5,5,3,4,4,4,5,4,1,2,3,3,2,4,1,4,1,3,1,1,3,2,1,1,4,psychology
4,4,2,3,2,3,3,2,5,3,3,4,2,3,2,2,3,3,3,5,5,3,3,3,5,4,3,3,4,4,3,3,3,3,4,4,4,4,3,5,3,4,4,4,4,3,3,4,3,accounting
1,4,2,1,3,3,3,3,3,1,1,0,3,2,2,2,1,2,2,2,2,1,4,2,5,4,3,3,4,2,3,2,3,3,5,4,3,4,4,4,2,3,3,3,4,3,3,3,4,psychology
1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,3,3,2,3,4,2,1,1,5,3,3,1,5,3,4,3,1,3,3,1,3,3,1,3,2,1,1,2,1,1,3,1,4,psychology
5,3,5,5,5,4,3,4,1,1,1,2,1,2,1,1,1,2,3,1,1,2,1,1,5,2,5,5,4,2,3,1,5,1,5,3,5,3,5,5,5,3,5,5,5,5,5,5,3,Business
4,1,2,1,1,2,1,1,4,4,4,4,3,4,3,4,3,3,3,3,3,3,5,3,4,4,2,4,2,3,3,3,2,3,2,2,2,3,3,2,2,3,2,2,3,4,1,2,3,Psychology
2,1,1,2,1,1,2,1,4,4,3,3,2,3,2,2,2,2,2,1,2,1,3,3,4,4,4,5,5,5,5,5,1,2,4,2,3,3,2,3,3,3,3,3,2,4,2,2,3,Accounting
3,1,1,1,1,1,1,1,5,5,5,5,5,4,5,1,3,3,5,2,2,3,1,3,5,5,5,5,5,5,5,5,1,5,1,5,1,5,1,3,1,1,1,2,1,4,4,2,3,BIOLOGY
2,2,2,2,2,3,3,1,2,2,3,4,3,2,2,1,2,3,3,3,3,3,2,1,4,5,5,4,5,4,4,4,1,2,3,3,3,2,2,3,2,2,3,2,2,3,2,2,3,Clinical Mental Health Counseling
2,3,0,1,1,1,1,2,3,0,2,1,2,1,2,1,1,4,3,5,4,2,1,4,4,5,2,2,4,3,3,3,2,4,4,4,2,3,1,4,0,1,3,1,2,2,1,2,3,SOCIOLOGY
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,4,5,5,3,5,5,5,5,2,3,3,3,3,3,4,3,2,1,1,1,1,1,1,1,2,social work
1,1,1,3,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,3,3,3,1,3,3,3,3,1,3,3,2,1,3,3,2,2,criminal justice 
3,3,3,3,5,4,4,3,4,2,2,3,2,2,2,2,2,2,2,4,2,2,4,2,5,4,4,3,3,2,1,3,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,3,Business
3,3,2,2,2,2,2,2,3,4,2,3,4,4,4,2,2,2,2,3,5,4,1,2,2,3,2,4,2,4,4,2,2,2,2,3,3,3,4,3,2,2,4,2,4,4,2,2,3,History and psychology
1,1,1,1,1,2,1,1,3,3,1,4,1,1,1,1,1,1,1,3,1,1,1,1,2,3,5,4,5,4,3,2,1,1,3,1,4,1,1,1,1,1,2,1,1,1,1,1,3,pscgology
5,1,1,3,1,1,3,1,3,1,1,0,2,1,3,1,1,1,1,3,1,1,4,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,3,3,4,3,2,1,3,3,2,psychology
1,4,1,3,2,2,3,3,4,5,5,4,5,5,5,4,2,3,5,5,5,5,5,2,4,4,4,3,5,4,5,2,3,1,2,3,2,1,2,4,1,1,2,1,4,1,2,1,2,Journalism
3,2,1,2,2,2,2,2,4,4,5,3,4,5,4,4,5,5,4,4,5,5,3,4,5,5,5,4,5,5,4,5,3,3,3,4,2,3,2,4,2,3,2,3,1,2,2,2,3,Psychology
3,3,1,3,1,3,3,3,3,4,4,3,3,4,3,4,2,2,3,3,3,4,2,3,2,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,chemical engineering
3,1,1,1,1,3,4,1,3,3,4,1,3,1,3,3,1,3,3,1,3,1,3,1,5,5,3,3,4,3,4,4,3,3,3,1,3,4,1,1,3,3,4,1,4,4,1,3,2,psychology
1,1,1,1,1,1,1,1,4,3,2,3,1,1,2,1,1,1,1,3,3,1,1,1,5,4,2,3,3,4,4,2,2,1,1,1,1,1,3,1,1,1,1,1,2,4,2,2,3,Psychology
4,3,5,3,3,3,3,2,3,2,2,1,2,4,2,4,2,1,3,2,2,3,3,2,4,4,2,2,2,3,2,2,2,2,3,2,4,2,2,2,1,3,3,2,3,3,2,2,2,network engineering
2,4,1,2,2,3,4,4,5,5,4,4,4,4,4,1,1,1,1,2,2,2,1,1,5,5,5,2,5,5,5,5,1,4,3,2,3,4,1,4,4,4,5,4,2,4,2,4,3,psychology
1,1,1,1,1,1,1,1,3,3,3,4,3,2,1,2,4,2,5,3,3,3,2,5,4,5,5,4,5,4,5,3,1,2,2,2,1,1,2,3,1,1,1,1,2,1,1,1,3,Psychology
1,1,1,1,1,1,1,1,5,5,5,4,5,5,4,4,3,4,4,3,5,4,3,4,4,5,5,3,5,5,5,5,1,2,4,4,4,1,2,5,2,2,1,2,2,1,3,1,4,history; African-American Studies
3,3,2,2,2,3,1,2,4,4,4,2,3,4,1,3,2,3,2,2,2,3,4,2,3,4,3,4,4,3,3,5,2,2,3,2,2,2,2,2,2,3,2,3,2,1,1,2,4,Psychology
3,1,1,2,2,3,3,2,1,2,2,3,2,2,2,1,1,1,1,2,1,3,2,1,3,2,2,2,1,2,3,1,4,1,4,1,4,2,2,2,4,3,4,4,5,4,4,4,2,engineering
2,1,1,1,2,1,1,1,2,4,3,1,3,3,2,2,3,3,2,2,5,2,1,3,2,5,4,3,4,1,2,4,1,2,4,2,3,2,3,3,3,3,3,3,2,1,1,3,3,English
1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,Economics
2,2,1,4,1,3,2,2,4,3,2,3,3,3,3,3,4,4,2,5,4,5,3,4,5,4,3,4,4,5,5,2,2,2,4,2,4,4,4,4,2,2,3,2,2,3,4,1,3,"Psychology, Music, Education"
3,4,4,1,2,3,3,2,3,2,4,4,2,2,2,2,4,5,5,4,5,2,4,4,4,5,5,3,4,5,5,5,2,2,3,3,4,2,3,5,1,1,1,2,4,3,1,2,3,Literature
1,3,1,3,4,1,1,1,3,3,1,3,3,3,1,1,1,5,5,1,4,1,1,4,5,5,5,4,4,4,4,4,5,1,3,4,3,4,1,4,3,1,5,3,1,1,1,4,3,psychology
2,1,1,4,1,1,1,1,4,4,3,4,3,2,2,2,1,2,4,5,4,5,4,1,5,4,4,2,5,2,4,4,3,1,2,1,3,2,5,5,5,2,3,3,5,4,3,2,2,Law
1,1,1,1,1,4,1,2,3,5,4,1,3,4,3,1,4,4,4,5,4,4,1,4,4,4,5,3,5,3,3,3,1,3,3,3,3,2,2,3,1,1,1,1,1,1,1,3,4,Mental Health & Spirituality
1,3,1,3,1,1,0,1,5,5,5,1,3,3,3,3,1,3,5,5,3,5,3,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,3,3,3,3,3,3,1,3,psychology
4,3,3,3,2,3,3,4,4,3,3,3,3,2,2,2,4,3,2,3,3,4,2,2,4,4,3,4,4,4,4,4,3,4,3,3,4,3,3,2,3,2,3,3,2,4,3,2,4,Maths
1,1,3,4,1,1,1,1,3,5,5,1,5,5,5,5,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,Nil
2,1,2,1,1,1,1,2,3,3,3,1,3,3,1,3,4,4,3,4,5,5,3,4,3,4,1,3,2,4,2,3,1,1,3,4,2,1,1,3,2,2,1,2,2,1,2,2,4,Banking and finance
4,4,1,1,2,1,1,1,4,4,2,1,5,2,1,1,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,3,5,4,4,4,2,5,4,1,1,3,1,1,1,1,3,psychology
2,4,2,4,2,4,4,4,4,4,4,4,3,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,2,2,4,3,2,4,2,4,2,3,4,3,4,4,2,4,3,architecture
3,1,3,2,1,2,1,1,5,5,5,5,5,5,5,5,4,3,3,2,3,4,1,4,4,5,5,3,5,1,4,4,2,3,3,3,5,3,1,1,2,2,3,3,1,2,1,1,4,Psychology
4,2,2,3,2,4,2,2,5,5,3,5,5,4,5,4,3,5,4,5,5,5,4,5,4,5,5,4,5,5,5,4,3,3,5,5,4,3,2,5,2,3,3,3,3,3,2,2,3,Biochemistry
1,1,1,1,1,1,1,1,3,4,3,2,2,3,3,4,5,3,3,5,4,5,4,3,5,5,5,3,5,4,3,3,1,2,1,2,1,1,1,4,1,1,1,2,1,1,1,1,3,psychology
5,1,1,2,1,1,3,1,5,1,1,4,1,1,2,1,5,2,3,4,4,5,1,2,5,5,3,3,5,1,4,3,1,2,1,1,5,1,1,1,5,5,5,5,5,5,5,5,4,Business-Accounting
1,4,4,2,3,4,4,4,5,4,2,3,2,2,2,2,3,3,4,2,4,4,5,5,4,2,4,5,4,3,2,3,3,2,3,3,3,4,5,4,1,1,1,2,3,3,1,1,3,building
4,1,1,1,1,1,1,1,5,4,4,4,4,4,4,1,0,3,4,2,3,3,4,4,3,5,4,3,4,3,2,1,1,2,1,1,3,1,1,1,1,1,1,4,1,1,1,2,2,psychology
3,5,1,2,3,3,4,1,4,5,5,4,3,4,3,4,5,2,5,5,5,5,5,5,4,1,4,5,4,5,4,2,3,5,5,5,3,4,1,5,4,5,5,3,5,5,1,2,4,English
3,1,4,1,1,2,1,1,5,2,5,2,1,4,1,2,5,1,1,1,1,1,1,1,4,3,3,3,4,1,2,1,5,3,2,1,4,1,4,4,1,1,1,1,4,1,1,1,3,maritime technology
1,4,1,4,3,3,3,4,4,4,3,1,4,4,3,5,1,5,5,2,5,4,3,5,5,4,4,1,3,2,4,2,1,1,1,1,2,1,1,4,1,3,1,1,3,3,1,1,3,mechanical engineering
3,4,3,3,2,3,2,3,3,4,4,2,2,3,3,2,2,2,4,3,4,3,2,2,2,3,1,2,2,3,4,2,1,1,2,1,2,2,2,4,1,1,2,2,3,3,2,2,3,film
5,3,1,3,1,3,3,2,4,5,1,5,1,1,3,4,3,5,4,4,4,3,5,4,5,5,3,4,4,2,5,4,5,4,3,2,4,2,3,2,3,2,2,2,1,3,2,3,4,CREATIVITY
4,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,2,4,5,2,4,2,5,5,3,2,3,1,1,2,3,2,2,4,2,4,2,3,2,5,2,3,1,2,2,2,2,2,2,animation
3,2,3,4,1,4,1,1,2,2,2,4,2,3,2,4,2,4,2,5,5,4,3,2,4,4,2,5,1,1,2,1,4,1,1,1,2,1,2,1,1,1,4,1,4,2,1,1,4,Systems Engineering
1,1,1,1,1,1,1,1,4,3,2,3,3,3,3,2,1,1,1,1,1,1,1,1,3,3,5,3,1,4,4,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,3,Communication
1,1,1,1,1,1,1,1,5,4,4,4,4,5,4,4,3,4,2,4,5,4,2,4,4,4,4,5,5,4,5,4,4,4,4,4,4,4,4,2,2,2,2,2,1,4,1,1,3,Psychology & Sociology
3,4,3,1,3,4,3,3,3,5,3,2,3,4,2,3,1,2,3,2,3,3,2,5,4,3,3,4,3,4,2,4,4,1,4,4,4,2,4,5,1,2,2,3,4,3,3,3,3,Business Administration
1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,2,2,2,3,1,3,3,1,1,2,3,1,3,1,1,1,1,3,1,3,1,3,3,1,1,1,1,1,1,1,1,1,2,dance
4,2,2,2,2,3,2,3,2,3,3,1,2,3,1,2,3,3,5,4,4,4,2,3,5,4,4,4,5,3,4,5,5,3,4,3,3,2,5,4,2,5,3,3,3,3,3,4,2,Psychology
2,1,1,2,0,3,3,2,4,4,3,3,3,2,3,1,3,2,2,3,3,4,2,2,4,5,4,3,4,4,4,3,1,2,2,2,3,3,2,2,2,2,2,3,4,4,3,3,4,psych
2,2,1,4,2,4,3,3,4,5,5,5,4,5,4,2,4,4,5,5,5,5,4,4,4,4,4,5,4,5,4,4,1,2,2,5,2,2,1,5,2,2,1,2,2,3,3,2,3,Youth Development and Agricultural Education
0,3,2,2,0,0,2,2,4,4,4,2,3,4,4,3,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,2,0,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,Psychology
1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,3,3,3,5,5,5,4,2,3,5,4,3,3,3,1,1,1,5,3,5,4,5,4,5,4,2,2,3,4,2,1,4,4,3,communications
3,3,1,2,1,3,2,3,4,5,1,3,1,2,2,2,4,4,1,1,4,4,1,4,5,5,5,4,5,4,4,4,2,3,2,4,1,2,2,2,1,3,1,1,1,2,1,1,2,General Studies minoring in Psychology
3,2,1,1,2,2,1,2,4,4,1,1,1,1,1,1,1,4,1,4,5,4,4,3,5,5,4,1,4,3,5,3,5,3,5,5,5,5,5,5,5,2,4,5,1,2,5,3,2,Entrepreneurial Studies
1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,4,3,4,4,4,1,4,4,4,3,3,3,5,5,3,1,1,4,3,4,3,3,3,4,1,3,3,1,2,1,1,4,English
3,1,3,2,1,2,2,1,2,3,2,1,1,3,2,4,2,5,4,1,4,3,4,4,5,2,5,5,5,1,4,3,4,2,5,5,5,5,5,5,1,3,1,5,1,1,3,2,4,intercultual communication
1,3,1,2,1,3,2,4,4,5,4,5,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,5,4,2,4,4,1,3,4,4,4,4,4,2,2,2,2,2,4,3,2,1,4,counseling
1,1,1,3,1,3,1,3,3,3,5,5,3,3,1,3,1,4,5,5,5,5,1,3,5,5,5,5,3,3,5,4,3,1,4,4,1,3,4,3,1,1,3,4,5,3,1,3,4,Technology Education
1,1,1,2,1,2,1,1,5,4,4,5,5,4,5,4,4,4,4,5,4,5,3,3,2,4,5,4,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,Nursing
3,3,1,3,1,2,3,3,3,1,1,1,1,1,1,2,4,5,3,2,2,4,5,3,1,4,2,3,2,1,1,3,1,1,1,1,1,1,1,1,4,4,4,4,4,4,2,4,3,Theatre
3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,3,1,1,2,1,1,1,1,3,1,1,1,1,4,2,3,2,3,4,3,1,3,3,3,2,2,3,3,2,2,undecided
3,1,1,1,1,2,1,1,4,4,3,3,2,2,3,2,4,4,4,4,4,4,3,3,4,4,5,3,4,4,3,3,3,2,4,1,3,3,2,2,2,2,3,2,1,1,1,1,3,psychology
2,1,1,0,1,1,1,1,5,4,4,4,4,4,3,2,4,5,5,5,5,5,4,5,5,5,4,4,5,4,4,2,2,3,2,2,3,4,2,3,2,3,1,2,1,2,1,2,3,"Speech, Language, and Hearing Science"
3,3,2,3,2,4,2,4,5,5,5,4,4,5,4,4,4,4,4,5,5,5,4,4,2,3,3,4,3,4,5,3,1,1,3,4,2,4,1,5,1,2,2,2,2,4,1,5,2,Filology
1,3,1,1,1,1,1,2,3,4,4,1,4,4,1,4,2,1,3,4,4,3,1,3,2,5,3,4,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,liberal arts
3,3,1,3,2,4,2,4,4,4,4,4,2,4,2,3,1,1,2,2,2,1,4,1,5,5,4,4,5,4,5,4,4,4,4,4,5,4,5,5,3,3,3,2,3,2,2,3,3,Business
5,2,1,2,1,4,1,2,4,4,4,3,4,5,3,2,3,4,5,5,5,5,5,5,4,5,5,3,5,5,5,5,1,4,3,4,2,2,3,5,1,5,1,1,1,1,1,2,2,Human Services
2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,5,4,4,4,4,1,2,2,5,4,4,4,4,5,4,2,4,4,4,1,4,2,4,4,2,2,2,1,4,2,2,2,4,Education
1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,5,4,4,5,3,3,3,5,5,4,4,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,4,Education
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,3,2,4,5,5,3,2,3,2,2,2,3,1,4,2,2,2,2,2,3,2,2,3,Education
3,1,1,1,1,1,1,1,5,5,5,5,5,5,5,4,3,1,2,1,1,1,1,1,3,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,Laboratory science
4,1,3,3,2,3,3,2,5,2,3,4,2,1,2,2,1,3,2,1,2,1,3,2,5,4,3,2,4,3,3,3,4,3,4,1,4,3,4,2,2,3,3,3,4,4,4,2,4,political science 
3,1,1,2,2,4,4,2,4,3,4,3,4,4,4,4,3,1,3,4,3,4,1,4,3,4,1,4,1,1,1,3,3,2,4,1,2,2,2,3,2,3,3,3,3,4,3,3,3,physiotherapy
4,2,2,4,2,3,4,2,4,3,4,4,4,3,3,4,1,2,2,2,2,2,2,2,4,3,3,3,3,2,3,3,4,3,4,2,4,4,4,4,3,4,4,4,4,4,4,5,2,economics
4,2,3,4,3,3,3,3,5,3,4,3,4,2,2,3,1,2,2,2,3,2,4,1,4,4,3,3,2,3,2,2,3,3,4,2,2,3,5,2,4,4,4,3,3,3,4,4,3,Finance
5,1,1,2,1,1,1,2,5,3,3,4,4,1,4,1,1,3,3,3,3,2,3,2,3,1,4,1,4,3,2,3,2,2,3,1,4,1,3,2,4,4,4,4,4,3,4,4,2,psychology
5,4,2,5,4,5,4,3,4,3,5,3,5,4,3,4,2,2,4,2,3,3,2,3,3,5,4,3,3,4,5,5,2,4,4,3,3,4,3,4,5,5,5,5,5,4,5,5,4,Busines administration
1,1,1,1,1,1,1,1,4,4,2,1,1,4,1,2,2,2,4,3,2,3,3,4,5,5,5,3,5,4,4,4,3,4,3,4,4,4,4,3,2,1,2,2,1,2,3,1,2,Psychology
5,1,1,2,1,1,1,1,2,4,3,1,1,1,1,1,3,3,2,3,1,5,1,3,1,5,4,1,3,3,3,4,1,3,3,1,4,3,1,2,1,3,2,1,1,1,1,2,2,psychology
3,3,1,3,3,3,2,3,5,3,2,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,5,5,5,4,3,2,1,1,4,2,4,3,3,3,2,2,3,5,5,3,3,3,mathematics
5,4,4,3,2,1,4,4,4,4,5,4,4,4,4,3,5,4,5,5,5,5,5,5,4,5,4,5,5,5,4,4,1,5,4,3,5,5,4,5,3,5,2,3,2,1,4,4,2,Psychology
4,3,4,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,0,5,5,5,5,5,5,5,3,4,3,3,5,4,3,5,1,2,2,2,2,1,3,4,2,Psychology
1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,4,2,4,2,3,5,2,3,3,3,3,1,1,2,3,4,1,1,2,2,1,2,2,3,2,1,1,1,3,1,1,1,1,2,English
4,3,3,4,4,4,4,4,4,4,5,4,4,4,4,4,3,2,3,3,3,3,1,3,1,4,3,2,2,2,3,1,1,1,2,2,3,2,0,4,1,2,2,2,4,4,2,2,4,physics
1,2,1,1,1,1,2,2,3,2,1,3,1,1,1,1,3,4,4,2,3,3,5,3,5,3,4,2,4,2,5,3,2,3,3,4,3,2,2,1,2,1,1,2,1,3,2,3,2,liberal arts
2,2,1,2,1,1,1,1,1,5,3,1,1,1,1,1,5,5,2,4,5,2,4,3,5,5,5,1,5,1,4,5,2,3,3,3,1,1,1,5,2,1,2,2,1,1,1,1,2,Criminal Justice
1,1,2,2,2,2,2,1,1,1,2,3,2,1,1,1,1,3,4,3,4,3,3,4,5,4,4,3,4,3,3,3,3,3,3,5,3,5,2,2,3,2,2,4,2,2,3,2,2,liberal arts
3,1,1,2,1,1,1,1,4,2,3,3,3,2,3,1,2,1,3,1,2,2,2,1,3,2,4,2,4,2,2,2,1,1,2,1,2,2,1,1,1,1,2,2,3,2,1,1,3,Psychology
1,1,1,1,1,1,1,1,5,3,1,1,1,2,1,2,5,5,4,4,3,5,3,4,4,3,4,4,4,4,4,3,1,1,1,3,3,1,2,2,1,1,1,1,1,1,1,1,3,musical theatre
4,1,1,1,1,1,1,1,3,4,3,1,3,5,3,4,1,1,1,1,4,1,4,1,5,4,4,1,3,3,3,3,3,1,2,1,2,1,1,1,5,5,5,5,5,5,5,5,3,accounting
5,1,1,1,1,5,1,1,3,5,5,2,3,4,3,1,1,1,1,3,1,3,4,3,5,5,5,1,5,5,5,5,1,1,1,1,3,1,4,4,1,1,1,1,1,3,3,1,3,Fruit Science 
1,5,1,4,1,3,1,4,2,4,3,5,3,4,2,5,5,5,5,5,5,5,3,5,5,4,2,3,4,4,5,1,2,3,2,3,2,3,2,2,1,1,1,1,1,3,1,1,4,political philosophy
5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,3,1,5,5,3,1,5,1,3,3,1,1,3,3,1,3,1,1,3,1,1,3,1,1,1,1,4,Sociology
3,3,1,1,1,1,1,1,5,5,3,1,1,1,0,3,1,5,1,3,5,3,3,1,3,3,3,3,5,3,5,3,1,1,3,1,3,3,1,3,3,3,3,3,1,5,3,3,3,accountancy
